player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,SLG,OBP,team,year
立岡 宗一郎,91,367,339,36,103,9,3,0,118,14,16,6,3,3,18,0,4,61,2,0.304,0.348,0.343,巨人,2015
長野 久義,130,479,434,49,109,20,3,15,180,52,3,2,5,2,34,0,4,81,12,0.251,0.415,0.31,巨人,2015
辻 東倫,2,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.25,巨人,2015
寺内 崇幸,31,29,24,6,6,0,0,0,6,3,4,0,4,0,0,0,1,6,0,0.25,0.25,0.28,巨人,2015
堂上 剛裕,59,104,98,7,27,9,1,3,47,13,0,0,1,1,4,0,0,20,6,0.276,0.48,0.301,巨人,2015
中井 大介,29,47,43,2,9,1,0,0,10,2,0,0,1,0,2,0,1,9,0,0.209,0.233,0.261,巨人,2015
橋本 到,68,151,137,19,30,11,1,1,46,10,4,1,3,1,9,0,1,35,1,0.219,0.336,0.27,巨人,2015
フランシスコ,5,18,18,0,3,0,0,0,3,1,0,0,0,0,0,0,0,11,0,0.167,0.167,0.167,巨人,2015
ポレダ,24,44,43,0,4,0,0,0,4,1,0,0,0,0,1,0,0,29,0,0.093,0.093,0.114,巨人,2015
マイコラス,21,54,49,5,7,2,0,0,9,3,0,1,4,0,1,0,0,22,1,0.143,0.184,0.16,巨人,2015
松本 哲也,44,37,34,8,5,1,0,0,6,0,3,0,1,0,2,0,0,10,0,0.147,0.176,0.194,巨人,2015
村田 修一,103,370,330,33,78,9,0,12,123,39,1,1,2,2,28,2,8,65,12,0.236,0.373,0.31,巨人,2015
矢野 謙次,8,14,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0.071,0.071,0.071,巨人,2015
吉川 大幾,47,60,56,11,14,5,1,0,21,4,3,0,2,0,2,0,0,15,1,0.25,0.375,0.276,巨人,2015
新垣 渚,15,24,20,1,4,1,0,0,5,2,0,0,3,0,1,0,0,7,1,0.2,0.25,0.238,ヤクルト,2015
荒木 貴裕,73,196,170,21,43,8,0,2,57,12,5,3,8,1,16,0,1,30,3,0.253,0.335,0.319,ヤクルト,2015
飯原 誉士,18,34,32,2,7,1,0,0,8,3,0,0,0,1,1,0,0,9,1,0.219,0.25,0.235,ヤクルト,2015
石川 雅規,25,47,38,2,7,0,0,0,7,1,0,0,7,0,2,0,0,13,1,0.184,0.184,0.225,ヤクルト,2015
石山 泰稚,21,33,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,13,2,0.0,0.0,0.0,ヤクルト,2015
今浪 隆博,68,139,123,13,39,8,0,2,53,13,1,0,3,1,12,0,0,14,1,0.317,0.431,0.375,ヤクルト,2015
上田 剛史,82,238,209,18,55,2,2,1,64,19,8,1,11,2,14,0,2,29,5,0.263,0.306,0.313,ヤクルト,2015
大引 啓次,96,347,311,25,70,18,1,5,105,41,6,3,6,2,27,0,1,56,5,0.225,0.338,0.287,ヤクルト,2015
小川 泰弘,27,57,46,4,5,0,0,1,8,4,0,0,7,0,4,0,0,24,0,0.109,0.174,0.18,ヤクルト,2015
川崎 成晃,13,12,11,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.091,0.091,0.167,ヤクルト,2015
川端 慎吾,143,632,581,87,195,34,1,8,255,57,4,3,2,2,43,0,3,72,15,0.336,0.439,0.383,ヤクルト,2015
杉浦 稔大,7,12,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,0.0,0.0,0.0,ヤクルト,2015
武内 晋一,51,71,66,5,13,2,0,0,15,3,0,0,1,0,4,0,0,15,1,0.197,0.227,0.243,ヤクルト,2015
館山 昌平,11,20,15,2,3,0,0,1,6,3,0,0,3,0,2,0,0,9,0,0.2,0.4,0.294,ヤクルト,2015
田中 浩康,82,151,134,13,27,3,1,1,35,11,3,0,4,0,11,0,2,18,4,0.201,0.261,0.272,ヤクルト,2015
田中 雅彦,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,ヤクルト,2015
デニング,64,227,194,13,43,12,0,4,67,22,0,1,0,2,23,1,8,43,2,0.222,0.345,0.326,ヤクルト,2015
徳山 武陽,39,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0.0,0.0,0.333,ヤクルト,2015
中村 悠平,136,502,442,36,102,14,0,2,122,33,3,2,14,2,40,1,4,80,9,0.231,0.276,0.299,ヤクルト,2015
成瀬 善久,14,26,24,0,4,1,0,0,5,0,0,0,2,0,0,0,0,8,0,0.167,0.208,0.167,ヤクルト,2015
